               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.016299,           0.0093261,                   0,              0.9326,             0.86497,             0.95491,             0.77784,            0.013077,            0.003254,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.019352,           0.0093125,                   0,             0.96748,             0.92978,             0.98554,             0.84507,            0.011241,           0.0028723,                   0,            0.064881,           0.0038807,           0.0038807
                   2,             0.01912,           0.0095012,                   0,             0.86129,              0.9375,             0.97484,             0.80604,            0.011318,           0.0026177,                   0,            0.046842,           0.0058416,           0.0058416
                   3,            0.023561,            0.010297,                   0,             0.98911,              0.8125,              0.9288,             0.72309,            0.017995,           0.0031426,                   0,            0.028783,           0.0077827,           0.0077827
                   4,            0.024861,            0.010246,                   0,             0.96608,             0.89028,             0.95173,             0.64132,            0.015159,           0.0030689,                   0,            0.010704,            0.009704,            0.009704
                   5,            0.025683,            0.011653,                   0,             0.99738,               0.875,             0.98397,             0.79581,            0.011838,           0.0029637,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,            0.025857,            0.011546,                   0,             0.96664,             0.90565,             0.97271,             0.82982,            0.016353,           0.0032159,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.028944,            0.012071,                   0,             0.92788,              0.9375,             0.95152,             0.73082,            0.016055,           0.0034363,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.024917,            0.012056,                   0,             0.84992,              0.8851,             0.92451,             0.73794,            0.015442,           0.0032926,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.027025,            0.011774,                   0,             0.89807,             0.82629,             0.93756,             0.73101,            0.017619,           0.0030687,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.025494,            0.011362,                   0,             0.90978,             0.96875,             0.95516,             0.79376,            0.026518,           0.0031005,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.031201,            0.011666,                   0,             0.93729,             0.93426,              0.9621,             0.81196,            0.017128,           0.0030973,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.027912,            0.012987,                   0,             0.93543,             0.90542,             0.96378,             0.77894,            0.013114,           0.0029502,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.026646,             0.01285,                   0,             0.89962,             0.90625,             0.93576,              0.7347,            0.015233,           0.0027592,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.024744,            0.012835,                   0,             0.99225,              0.9375,             0.98061,             0.79504,            0.016557,           0.0031176,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.026858,            0.012361,                   0,             0.78328,             0.90363,             0.90628,             0.65984,             0.01719,           0.0032663,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.027782,            0.013586,                   0,             0.85717,              0.9375,             0.92524,             0.72238,            0.016886,           0.0033493,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.023306,             0.01188,                   0,             0.88086,             0.92445,             0.92664,             0.76222,             0.01327,            0.003479,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.025694,            0.011553,                   0,             0.96091,             0.96875,             0.95077,             0.77979,            0.016894,           0.0029582,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027564,            0.011108,                   0,             0.93095,             0.90625,             0.96522,             0.74088,            0.012305,           0.0026786,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.026331,            0.012313,                   0,             0.90316,              0.9375,             0.97627,             0.79434,            0.012454,           0.0028904,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.023802,            0.012417,                   0,              0.9006,             0.96875,             0.98237,             0.76735,            0.014766,           0.0027711,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.025967,            0.012226,                   0,             0.88301,             0.94365,             0.97347,              0.7031,            0.014256,           0.0029844,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.025448,             0.01165,                   0,             0.81823,               0.875,              0.9233,             0.75101,            0.019328,            0.003234,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.024618,            0.012043,                   0,             0.96395,             0.83591,             0.95378,             0.76919,             0.01818,           0.0029876,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,             0.02715,             0.01115,                   0,             0.92968,             0.96875,             0.98813,             0.75392,            0.019158,           0.0031478,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.029842,            0.011836,                   0,             0.90316,             0.87432,             0.91648,             0.75081,            0.011778,            0.003134,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.027731,            0.011692,                   0,             0.82647,             0.89321,              0.9242,             0.64096,              0.0155,           0.0034897,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.026293,             0.01158,                   0,             0.77946,             0.78125,              0.7851,             0.63385,            0.016095,           0.0036695,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,             0.02664,            0.011227,                   0,             0.71056,                0.75,             0.77378,             0.63712,            0.016733,           0.0039398,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.026021,            0.012233,                   0,             0.73251,              0.6875,             0.67889,             0.55728,            0.024005,            0.004606,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.025469,            0.011413,                   0,             0.79847,             0.61927,             0.69863,              0.5972,            0.019914,           0.0046712,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.027838,            0.011496,                   0,             0.98199,               0.875,             0.95727,             0.69255,            0.017652,            0.003004,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.026486,            0.012189,                   0,             0.99098,              0.9375,             0.98452,             0.80599,            0.013297,           0.0031217,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.021665,           0.0099453,                   0,             0.98733,              0.9375,             0.96336,             0.76811,            0.012095,            0.003319,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.024888,            0.011364,                   0,             0.95952,             0.90625,             0.95567,              0.7344,            0.012502,           0.0031662,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.022873,            0.011163,                   0,             0.90629,             0.90664,              0.9653,             0.72432,            0.013038,            0.003293,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.022083,            0.010641,                   0,             0.96654,             0.90292,             0.97713,             0.82154,            0.010379,            0.003443,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.021853,            0.011941,                   0,             0.90635,              0.9375,             0.96118,             0.78346,             0.01262,           0.0034816,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.022676,            0.010538,                   0,             0.96759,             0.93306,             0.96225,             0.81057,            0.013223,           0.0030893,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.021796,            0.010197,                   0,             0.96768,             0.93584,             0.96148,              0.8113,            0.013292,           0.0031661,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.024067,            0.010116,                   0,              0.9333,             0.71875,             0.89705,              0.7841,            0.014549,           0.0037357,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.024873,            0.010726,                   0,             0.93498,              0.8989,             0.95249,             0.72042,            0.015269,           0.0030221,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.020002,            0.010262,                   0,             0.96858,             0.96352,             0.95424,             0.80217,            0.014049,            0.002857,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.024368,            0.010631,                   0,             0.96752,             0.93109,             0.96542,             0.75595,            0.011727,           0.0028795,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026762,            0.011023,                   0,             0.88268,             0.94055,             0.95599,             0.78708,            0.012773,           0.0033254,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.020986,            0.010159,                   0,             0.86254,              0.9375,             0.95719,             0.77504,            0.013285,           0.0032023,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.023494,            0.010228,                   0,             0.96178,             0.96875,              0.9625,             0.80564,            0.014017,           0.0031088,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.025782,             0.01134,                   0,             0.91293,              0.9375,             0.96339,               0.817,             0.01445,           0.0031722,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.022046,            0.010604,                   0,             0.90152,             0.96875,             0.97277,             0.81965,            0.018577,           0.0031124,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.021119,            0.010392,                   0,             0.96765,             0.93494,             0.96555,             0.82721,             0.01626,           0.0034081,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022151,            0.010222,                   0,             0.96445,              0.9375,             0.94777,             0.77674,            0.011538,           0.0032829,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.020946,            0.010381,                   0,             0.93504,              0.8998,              0.9389,             0.78916,             0.01047,           0.0030606,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.022624,            0.010408,                   0,             0.96695,             0.91461,             0.94808,             0.75401,            0.014608,           0.0033762,                   0,            0.007426,            0.007426,            0.007426
                  54,             0.02061,            0.010143,                   0,             0.96233,              0.9375,             0.96275,             0.82367,            0.012098,           0.0029808,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.021846,            0.010488,                   0,             0.93706,             0.93065,             0.96431,             0.80946,            0.012185,           0.0032745,                   0,            0.007327,            0.007327,            0.007327
                  56,             0.02378,            0.010386,                   0,             0.90496,             0.89289,             0.91881,             0.74694,            0.013692,           0.0032903,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.020583,           0.0097282,                   0,             0.87682,               0.875,             0.92386,             0.75839,            0.013284,           0.0033262,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.023645,            0.010497,                   0,             0.93404,              0.8852,             0.96301,             0.74369,            0.012035,           0.0031352,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.022053,            0.010064,                   0,             0.95723,              0.9375,             0.97044,             0.74479,            0.013261,           0.0029197,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.018331,           0.0092752,                   0,             0.96686,             0.91187,             0.97327,             0.75358,            0.014849,           0.0030486,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023341,            0.010598,                   0,             0.85334,              0.9375,             0.94424,             0.78299,            0.012416,           0.0030845,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.019056,           0.0089685,                   0,             0.87913,              0.9375,             0.97473,             0.84021,            0.013285,           0.0028243,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.022522,            0.010154,                   0,             0.89987,              0.9375,             0.97409,             0.75328,            0.012085,           0.0029974,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.019952,           0.0091645,                   0,             0.99715,             0.90625,             0.98141,             0.85371,            0.012401,           0.0028566,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.020833,            0.010004,                   0,             0.96265,             0.90625,             0.96958,             0.83312,            0.011484,           0.0028682,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.024174,            0.010208,                   0,             0.96636,             0.89805,              0.9452,             0.82847,            0.012025,           0.0030652,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.019002,           0.0097486,                   0,             0.96655,             0.90317,             0.94706,             0.80608,             0.01287,           0.0027949,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.022661,           0.0098295,                   0,             0.96205,               0.875,             0.93492,             0.79445,            0.011015,           0.0027472,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.017834,           0.0097452,                   0,              0.9049,             0.96875,             0.96405,             0.82301,            0.012256,           0.0028267,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.019225,           0.0093689,                   0,             0.96256,             0.96875,             0.93944,              0.7767,            0.013912,              0.0034,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.019418,           0.0093834,                   0,             0.73459,             0.96875,             0.88109,             0.74105,             0.01315,           0.0038793,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.022278,            0.010089,                   0,                   1,             0.93411,             0.95843,             0.82587,            0.013495,           0.0028903,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020774,            0.010613,                   0,             0.96317,              0.9375,             0.94965,             0.78755,            0.013327,           0.0031735,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.017491,           0.0091212,                   0,             0.96625,              0.9375,              0.9501,             0.78122,            0.015371,           0.0033157,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.020218,            0.009529,                   0,             0.95914,              0.9375,             0.94986,             0.80762,            0.012913,           0.0029587,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.021817,            0.010576,                   0,             0.96765,             0.93491,             0.95005,             0.79991,            0.016866,           0.0028187,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.022499,            0.010116,                   0,             0.95957,             0.90625,             0.95125,             0.76728,            0.014681,           0.0029224,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.021784,            0.010291,                   0,             0.96759,             0.93313,             0.94194,             0.81006,            0.012834,           0.0030061,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.019699,           0.0098851,                   0,             0.93422,              0.9375,             0.94781,             0.79935,            0.012409,           0.0031154,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.02043,           0.0098844,                   0,             0.93287,              0.9375,              0.9636,             0.79555,            0.011308,           0.0031142,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.015853,           0.0087411,                   0,             0.93864,               0.875,              0.9505,             0.80289,            0.012407,           0.0028751,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.020178,           0.0091114,                   0,             0.93602,             0.91452,              0.9467,             0.81036,            0.012669,           0.0031891,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.021182,           0.0099465,                   0,             0.90811,             0.92673,             0.94944,             0.74977,            0.014804,           0.0034515,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.017375,           0.0090581,                   0,             0.96761,             0.93367,             0.96504,             0.76453,            0.012244,           0.0034393,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020038,           0.0091329,                   0,              0.9348,             0.89625,             0.93631,              0.7949,            0.014181,           0.0034904,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.019679,           0.0097404,                   0,             0.90528,              0.9375,             0.94939,             0.80655,            0.013482,            0.003435,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.015088,           0.0084741,                   0,             0.88548,              0.9666,             0.95851,             0.82114,            0.010257,           0.0031602,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.017375,            0.008609,                   0,             0.90131,              0.9375,             0.95619,             0.84745,            0.010655,           0.0031056,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,             0.01776,           0.0089405,                   0,             0.96745,             0.92916,             0.94786,             0.81952,            0.012586,           0.0033477,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.016376,           0.0084222,                   0,              0.9371,             0.93124,             0.95796,             0.83523,            0.012107,            0.003141,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.020421,            0.008916,                   0,             0.88418,             0.95449,             0.95573,             0.84704,            0.014743,           0.0031351,                   0,            0.005545,            0.005545,            0.005545
                  92,             0.01587,           0.0085493,                   0,             0.96771,              0.9366,             0.96455,             0.79015,            0.012663,           0.0031487,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020823,           0.0093206,                   0,             0.96769,             0.93611,             0.96147,             0.78747,             0.01362,           0.0031112,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.017212,           0.0083188,                   0,             0.89981,             0.96875,             0.95996,             0.83378,            0.013086,           0.0027744,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.017764,           0.0088344,                   0,             0.95077,             0.96875,             0.98058,             0.78231,            0.012219,           0.0029701,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.015222,           0.0080836,                   0,             0.96869,             0.96676,              0.9672,             0.84481,            0.012216,           0.0031645,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.020233,           0.0092252,                   0,             0.96167,             0.96875,             0.97386,             0.84098,            0.011884,           0.0030594,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.017498,           0.0090162,                   0,             0.96478,             0.96875,             0.98868,             0.86845,            0.010372,            0.002748,                   0,           0.0051985,           0.0051985,           0.0051985
